name, method, class, f1_score
leaf,i,1,0
leaf,i,2,0
leaf,i,3,0
leaf,i,4,0
leaf,i,5,0
leaf,i,6,0.2
leaf,i,7,0
leaf,i,8,0.761904761905
leaf,i,9,0.0196078431373
leaf,i,10,0.133333333333
leaf,i,11,0.135135135135
leaf,i,12,0
leaf,i,13,0.0285714285714
leaf,i,14,0
leaf,i,15,0
leaf,i,22,0
leaf,i,23,0
leaf,i,24,0.0526315789474
leaf,i,25,0.2
leaf,i,26,0
leaf,i,27,0
leaf,i,28,0
leaf,i,29,0
leaf,i,30,0
leaf,i,31,0.588235294118
leaf,i,32,0
leaf,i,33,0
leaf,i,34,0.769230769231
leaf,i,35,0
leaf,i,36,0
leaf,g,1,0.107142857143
leaf,g,2,0.117647058824
leaf,g,3,0
leaf,g,4,0
leaf,g,5,0.142857142857
leaf,g,6,0.2
leaf,g,7,0
leaf,g,8,0.8
leaf,g,9,0.164948453608
leaf,g,10,0.142857142857
leaf,g,11,0.444444444444
leaf,g,12,0.129032258065
leaf,g,13,0.129032258065
leaf,g,14,0.181818181818
leaf,g,15,0.470588235294
leaf,g,22,0.210526315789
leaf,g,23,0.5
leaf,g,24,0
leaf,g,25,0.181818181818
leaf,g,26,0
leaf,g,27,0
leaf,g,28,0.25
leaf,g,29,0.5
leaf,g,30,0.142857142857
leaf,g,31,0.736842105263
leaf,g,32,0
leaf,g,33,0.153846153846
leaf,g,34,0.7
leaf,g,35,0.285714285714
leaf,g,36,0.4
