name, method, class, balanced_accuracy
leaf,i,1,0.460365853659
leaf,i,2,0.5
leaf,i,3,0.5
leaf,i,4,0.5
leaf,i,5,0.496951219512
leaf,i,6,0.739457831325
leaf,i,7,0.5
leaf,i,8,0.953025697707
leaf,i,9,0.475021910605
leaf,i,10,0.652317101858
leaf,i,11,0.83912037037
leaf,i,12,0.498475609756
leaf,i,13,0.461773700306
leaf,i,14,0.498475609756
leaf,i,15,0.598484848485
leaf,i,22,0.496951219512
leaf,i,23,0.58938933407
leaf,i,24,0.5
leaf,i,25,0.828801611279
leaf,i,26,0.467987804878
leaf,i,27,0.586349820392
leaf,i,28,0.495426829268
leaf,i,29,0.5
leaf,i,30,0.498475609756
leaf,i,31,0.906051395413
leaf,i,32,0.5
leaf,i,33,0.496960486322
leaf,i,34,0.904531638574
leaf,i,35,0.5
leaf,i,36,0.89696969697
leaf,g,1,0.740853658537
leaf,g,2,0.692424242424
leaf,g,3,0.790909090909
leaf,g,4,0.495481927711
leaf,g,5,0.831808943089
leaf,g,6,0.685993975904
leaf,g,7,0.592424242424
leaf,g,8,0.953025697707
leaf,g,9,0.740797546012
leaf,g,10,0.880028228652
leaf,g,11,0.935956790123
leaf,g,12,0.86737804878
leaf,g,13,0.683133380381
leaf,g,14,0.705284552846
leaf,g,15,0.895454545455
leaf,g,22,0.776422764228
leaf,g,23,0.674219397624
leaf,g,24,0.684662432369
leaf,g,25,0.771735481705
leaf,g,26,0.649898373984
leaf,g,27,0.628764852169
leaf,g,28,0.904471544715
leaf,g,29,0.700711382114
leaf,g,30,0.952235772358
leaf,g,31,0.951505940868
leaf,g,32,0.712075158884
leaf,g,33,0.668140370268
leaf,g,34,0.906051395413
leaf,g,35,0.857557336281
leaf,g,36,0.940909090909
