name, method, class, f1_score
leaf,i,1,0
leaf,i,2,0
leaf,i,3,0
leaf,i,4,0
leaf,i,5,0
leaf,i,6,0.421052631579
leaf,i,7,0
leaf,i,8,0.909090909091
leaf,i,9,0.0681818181818
leaf,i,10,0.444444444444
leaf,i,11,0.733333333333
leaf,i,12,0
leaf,i,13,0
leaf,i,14,0
leaf,i,15,0.307692307692
leaf,i,22,0
leaf,i,23,0.285714285714
leaf,i,24,0
leaf,i,25,0.666666666667
leaf,i,26,0
leaf,i,27,0.25
leaf,i,28,0
leaf,i,29,0
leaf,i,30,0
leaf,i,31,0.818181818182
leaf,i,32,0
leaf,i,33,0
leaf,i,34,0.782608695652
leaf,i,35,0
leaf,i,36,0.8
leaf,g,1,0.5
leaf,g,2,0.421052631579
leaf,g,3,0.545454545455
leaf,g,4,0
leaf,g,5,0.761904761905
leaf,g,6,0.5
leaf,g,7,0.235294117647
leaf,g,8,0.909090909091
leaf,g,9,0.518518518519
leaf,g,10,0.769230769231
leaf,g,11,0.903225806452
leaf,g,12,0.692307692308
leaf,g,13,0.416666666667
leaf,g,14,0.526315789474
leaf,g,15,0.761904761905
leaf,g,22,0.48275862069
leaf,g,23,0.4
leaf,g,24,0.434782608696
leaf,g,25,0.555555555556
leaf,g,26,0.296296296296
leaf,g,27,0.315789473684
leaf,g,28,0.666666666667
leaf,g,29,0.454545454545
leaf,g,30,0.814814814815
leaf,g,31,0.869565217391
leaf,g,32,0.384615384615
leaf,g,33,0.333333333333
leaf,g,34,0.818181818182
leaf,g,35,0.695652173913
leaf,g,36,0.72
